index,0,1,2,twitter handles,,
0,Francis Lawrence,,,,,
1,Shane Black,,,,,
2,Chris Buck, Jennifer Lee,,,,
3,Pierre Coffin, Chris Renaud,,,,
4,Zack Snyder,,,,,
5,Alfonso CuarÌ_n,,,,,
6,Dan Scanlon,,,,,
7,Peter Jackson,,,,,
8,Justin Lin,,,,,
9,Sam Raimi,,,,,
10,Clint Eastwood,,,,,
11,Francis Lawrence,,,,,
12,James Gunn,,,,,
13,Anthony Russo, Joe Russo,,,,
14,Phil Lord, Christopher Miller,,,,
15,Peter Jackson,,,,,
16,Michael Bay,,,,,
17,Robert Stromberg,,,,,
18,Bryan Singer,,,,,
19,Don Hall, Chris Williams,,,,
20,J.J. Abrams,,,,,
21,Colin Trevorrow,,,,,
22,Joss Whedon,,,,,
23,Pete Docter, Ronnie Del Carmen(co-director),,,,
24,James Wan,,,,,
25,Kyle Balda, Pierre Coffin,,,,
26,Francis Lawrence,,,@Hibbits,42475,
27,Ridley Scott,,,,,
28,,,,,,
29,Sam Mendes,,,,,Spectre
30,Gareth Edwards,,,,,Rogue One
31,Andrew Stanton, Angus MacLane(co-director),,@andrewstanton,58289,
32,Anthony Russo, Joe Russo,,@Russo_Brothers,104343,
33,Chris Renaud, Yarrow Cheney(co-director),,,,
34,,,,,,
35,Tim Miller,,,,,
36,Byron Howard, Rich Moore, Jared Bush(co-director),@ByronPHoward,29023,
37,Zack Snyder,,,@ZackSnyder,680566,
38,David Ayer,,,@DavidAyerMovies,455168,
39,Garth Jennings, Christophe Lourdelet(co-director),,,,
40,Rian Johnson,,,@rianjohnson,901871,
41,,,,,,
42,Patty Jenkins,,,@PattyJenks,173485,
43,Jake Kasdan,,,,,
44,James Gunn,,,@JamesGunn,424913,
45,Jon Watts,,,@jnwtts,21826,
46,Andy Muschietti,,,,,
47,Taika Waititi,,,@TaikaWaititi,362905,
48,Kyle Balda, Pierre Coffin, Eric Guillon(co-director),,,
49,Zack Snyder,,,,,
