Rank,Movie Title,Studio,Total Gross,Theaters,Opening,Theaters,Open,Close,Year,Twitter Handle,Twitter Tag #1 ,Twitter Tag #2,
1,The Hunger Games: Catching Fire,LGF,"$424,668,047 ","4,163","$158,074,286 ","4,163",22-Nov,3-Apr,2013,@HungerGamesUK  ,#catchingfire,#hungergames,
2,Iron Man 3,BV,"$409,013,994 ","4,253","$174,144,585 ","4,253",3-May,12-Sep,2013,@Iron_Man  ,#IronMan3,,
3,Frozen,BV,"$400,738,009 ","3,742","$243,390 ",1,22-Nov,17-Jul,2013, ,#Frozen,#Movie,
4,Despicable Me 2,Uni.,"$368,061,265 ","4,003","$83,517,315 ","3,997",3-Jul,16-Jan,2013,,#Despicableme2,,
5,Man of Steel,WB,"$291,045,518 ","4,207","$116,619,362 ","4,207",14-Jun,19-Sep,2013,,#manofsteel,#movie,
6,Gravity,WB,"$274,092,705 ","3,820","$55,785,112 ","3,575",4-Oct,8-May,2013,,#gravitymovie,,
7,Monsters University,BV,"$268,492,764 ","4,004","$82,429,469 ","4,004",21-Jun,19-Dec,2013,,#monstersuniversity,,
8,The Hobbit: The Desolation of Smaug,WB (NL),"$258,366,855 ","3,928","$73,645,197 ","3,903",13-Dec,17-Apr,2013,,#desolationofsmaug,#hobbit,
9,Fast & Furious 6,Uni.,"$238,679,850 ","3,771","$97,375,245 ","3,658",24-May,5-Sep,2013,,#fastandfurious6,,
10,Oz The Great and Powerful,BV,"$234,911,825 ","3,912","$79,110,453 ","3,912",8-Mar,18-Jul,2013,,#OzMovie,,
1,American Sniper,WB,"$350,126,372 ","3,885","$633,456 ",4,25-Dec,25-Jun,2014,,#Americansniper,#Movie,
2,The Hunger Games: Mockingjay - Part 1,LGF,"$337,135,885 ","4,151","$121,897,634 ","4,151",21-Nov,19-Mar,2014,,#mockingjay,#part1,
3,Guardians of the Galaxy,BV,"$333,176,600 ","4,088","$94,320,883 ","4,080",1-Aug,22-Jan,2014,,#GuardiansoftheGalaxy,,
4,Captain America: The Winter Soldier,BV,"$259,766,572 ","3,938","$95,023,721 ","3,938",4-Apr,21-Aug,2014,,#CaptainAmerica,#WinterSolider,
5,The LEGO Movie,WB,"$257,760,692 ","3,890","$69,050,279 ","3,775",7-Feb,4-Sep,2014,,#Lego,#Movie,#Legomovie
6,The Hobbit: The Battle of the Five Armies,WB (NL),"$255,119,788 ","3,875","$54,724,334 ","3,875",17-Dec,2-Apr,2014,,#fivearmies,#hobbit,
7,Transformers: Age of Extinction,Par.,"$245,439,076 ","4,233","$100,038,390 ","4,233",27-Jun,9-Oct,2014,,#transformers,#ageofextinction,
8,Maleficent,BV,"$241,410,378 ","3,948","$69,431,298 ","3,948",30-May,4-Dec,2014,,#maleficent,,
9,X-Men: Days of Future Past,Fox,"$233,921,534 ","4,001","$90,823,660 ","3,996",23-May,9-Oct,2014,,#xmen,#futurepast,
10,Big Hero 6,BV,"$222,527,828 ","3,773","$56,215,889 ","3,761",7-Nov,28-May,2014,,#bighero6,,
1,Star Wars: The Force Awakens,BV,"$936,662,225 ","4,134","$247,966,675 ","4,134",18-Dec,2-Jun,2015,,#starwars,#tfa,#forceawakens
2,Jurassic World,Uni.,"$652,270,625 ","4,291","$208,806,270 ","4,274",12-Jun,19-Nov,2015,,#jurassicworld,,
3,Avengers: Age of Ultron,BV,"$459,005,868 ","4,276","$191,271,109 ","4,276",1-May,8-Oct,2015,,#avengers,#ageofultron,
4,Inside Out,BV,"$356,461,711 ","4,158","$90,440,272 ","3,946",19-Jun,10-Dec,2015,,#insideout,#pixar,
5,Furious 7,Uni.,"$353,007,020 ","4,022","$147,187,040 ","4,004",3-Apr,24-Jul,2015,,#furious7,,
6,Minions,Uni.,"$336,045,770 ","4,311","$115,718,405 ","4,301",10-Jul,17-Dec,2015,,#minions,,
7,The Hunger Games: Mockingjay - Part 2,LGF,"$281,723,902 ","4,175","$102,665,981 ","4,175",20-Nov,25-Feb,2015,,#hungergames,#catchingfire,
8,The Martian,Fox,"$228,433,663 ","3,854","$54,308,575 ","3,831",2-Oct,17-Mar,2015,,#martian,#movie,
9,Cinderella (2015),BV,"$201,151,353 ","3,848","$67,877,361 ","3,845",13-Mar,17-Sep,2015,,#cinderella,#Movie,
10,Spectre,Sony,"$200,074,609 ","3,929","$70,403,148 ","3,929",6-Nov,7-Apr,2015,,#spectre,#Movie,#007
1,Rogue One: A Star Wars Story,BV,532177324,4157,155081681,4157,43450,43224,2016,,#rogueone,,
2,Finding Dory,BV,486295561,4305,135060273,4305,43268,43442,2016,,#findingdory,,
3,Captain America: Civil War,BV,408084349,4226,179139142,4226,43226,43365,2016,,#CaptainAmerica,#civilwar,
