,Movie Title,Year,Studio,Total Gross,Theaters,Opening,Open,Close,Rated,Runtime (Minutes),Director,Actor 1,Actor 2,Rotten Tomatoes (%),Metacritic,IMDB Rating,Production Studio
0,The Hunger Games: Catching Fire,2013,LGF,424668047,"4,163",158074286,22-Nov,3-Apr,PG-13,146,Francis Lawrence,Jennifer Lawrence, Liam Hemsworth,89,76,75,Lionsgate Films
1,Iron Man 3,2013,BV,409013994,"4,253",174144585,3-May,12-Sep,PG-13,130,Shane Black,Robert Downey Jr., Gwyneth Paltrow,80,62,72,Walt Disney Pictures
2,Frozen,2013,BV,400738009,"3,742",243390,22-Nov,17-Jul,PG,102,Chris Buck,Kristen Bell, Idina Menzel,90,74,75,Walt Disney Pictures
3,Despicable Me 2,2013,Uni.,368061265,"4,003",83517315,3-Jul,16-Jan,PG,98,Pierre Coffin,Steve Carell, Kristen Wiig,74,62,74,Universal Pictures
4,Man of Steel,2013,WB,291045518,"4,207",116619362,14-Jun,19-Sep,PG-13,143,Zack Snyder,Henry Cavill, Amy Adams,55,55,71,Warner Bros. Pictures
5,Gravity,2013,WB,274092705,"3,820",55785112,4-Oct,8-May,PG-13,91,Alfonso Cuarón,Sandra Bullock, George Clooney,96,96,78,Warner Bros. Pictures
6,Monsters University,2013,BV,268492764,"4,004",82429469,21-Jun,19-Dec,G,104,Dan Scanlon,Billy Crystal, John Goodman,79,65,73,Walt Disney Pictures
7,The Hobbit: The Desolation of Smaug,2013,WB (NL),258366855,"3,928",73645197,13-Dec,17-Apr,PG-13,161,Peter Jackson,Ian McKellen, Martin Freeman,74,66,79,Warner Bros.
8,Fast & Furious 6,2013,Uni.,238679850,"3,771",97375245,24-May,5-Sep,PG-13,130,Justin Lin,Vin Diesel, Paul Walker,69,61,71,Universal Pictures
9,Oz The Great and Powerful,2013,BV,234911825,"3,912",79110453,8-Mar,18-Jul,PG,130,Sam Raimi,James Franco, Mila Kunis,59,44,63,Walt Disney Pictures
10,American Sniper,2014,WB,350126372,"3,885",633456,25-Dec,25-Jun,R,133,Clint Eastwood,Bradley Cooper, Kyle Gallner,72,72,73,Warner Bros.
11,The Hunger Games: Mockingjay - Part 1,2014,LGF,337135885,"4,151",121897634,21-Nov,19-Mar,PG-13,123,Francis Lawrence,Jennifer Lawrence, Josh Hutcherson,66,64,67,Lionsgate Films
