,Movie Title,Month,Season
0,The Hunger Games: Catching Fire,11,Fall
1,Iron Man 3,5,Spring
2,Frozen,11,Fall
3,Despicable Me 2,7,Summer
4,Man of Steel,6,Spring
5,Gravity,10,Fall
6,Monsters University,6,Spring
7,The Hobbit: The Desolation of Smaug,12,Fall
8,Fast & Furious 6,5,Spring
9,Oz The Great and Powerful,3,Winter
10,American Sniper,12,Fall
11,The Hunger Games: Mockingjay - Part 1,11,Fall
12,Guardians of the Galaxy,8,Summer
13,Captain America: The Winter Soldier,4,Spring
14,The LEGO Movie,2,Winter
15,The Hobbit: The Battle of the Five Armies,12,Fall
16,Transformers: Age of Extinction,6,Spring
17,Maleficent,5,Spring
18,X-Men: Days of Future Past,5,Spring
19,Big Hero 6,11,Fall
20,Star Wars: The Force Awakens,12,Fall
21,Jurassic World,6,Spring
22,Avengers: Age of Ultron,5,Spring
23,Inside Out,6,Spring
24,Furious 7,4,Spring
25,Minions,7,Summer
26,The Hunger Games: Mockingjay - Part 2,11,Fall
27,The Martian,10,Fall
28,Cinderella (2015),3,Winter
29,Spectre,11,Fall
30,Rogue One: A Star Wars Story,12,Fall
31,Finding Dory,6,Spring
32,Captain America: Civil War,5,Spring
33,The Secret Life of Pets,7,Summer
34,The Jungle Book (2016),4,Spring
35,Deadpool,2,Winter
36,Zootopia,3,Winter
37,Batman v Superman: Dawn of Justice,3,Winter
38,Suicide Squad,8,Summer
39,Sing,12,Fall
40,Star Wars: The Last Jedi,12,Fall
41,Beauty and the Beast (2017),3,Winter
42,Wonder Woman,6,Spring
43,Jumanji: Welcome to the Jungle,12,Fall
44,Guardians of the Galaxy Vol. 2,5,Spring
45,Spider-Man: Homecoming,7,Summer
46,It,9,Summer
47,Thor: Ragnarok,11,Fall
48,Despicable Me 3,6,Spring
49,Justice League,11,Fall
